Review,Label Review,Kepuasan Umum/Sentimen
Makanan saya basah karena es tehnya bocor dan rembes. Pengemasannya tolong diperhatikan lagi. Terus saya pesan nasi jamur telor double kok tidak ada jamurnya?,"Minuman , Minuman (Es teh) , Rasa & Tekstur Makanan",Neutral
pesan 1 saos mentai dan 1 sambal bawang plus enoki tapi yg dikirim malah saos mentai semua dan enokinya tidak ada. padahal saya membayar lebih mahal untuk enokinya. TOLONG LEBIH TELITI LAGI !!,"Pelengkap (Sambal) , Porsi & Harga",Negative
sippppppppppppp,Umum,Neutral
"Mesennya ribet, trs mesen ayam+sosis tmbah sosis 1 lagi tpi yg dateng cmn 1 sosis aja",Umum,Neutral
TOBOR sering mangkal di situ,Umum,Neutral
mantapp sesuai pesanan dann request 👍🏻,Umum,Positive
"Sebenernya enak, smoky nya dapet, cuma minus nya sambel nya pedes nampol😭 buat yg asam lambung kek aku jangan coba”, soalnya sambal gabisa di pisah🥹 jd kurang nikmat makan nya","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Neutral
"Format Komplain. Nama : Alamat : No. Wa : Orderan yg salah : No di Box : Order di outlet mana : *KOMPLAIN, Langsung Chat w.a +62 878-5451-3021*",Umum,Negative
salah sambel bang,Pelengkap (Sambal),Negative
"enak sih, sayang agak dingin aja. crispy nya pas",Rasa & Tekstur Makanan,Positive
ayamnya ngga krispi dan kayak uda ayam kemaren trus di angetin lagi 🙏,Umum,Neutral
ayamnya keras sambelnya dikit sekarang,"Pelengkap (Sambal) , Rasa & Tekstur Makanan",Negative
"selalu enak dan murah makanya selalu repeat order disini, terus jaga kualitas yaa thank you","Kualitas Umum , Porsi & Harga , Rasa & Tekstur Makanan",Positive
"Cuminya keras bgt sampe capek rahang saya, trs lama bgt kata driver antri jadi kasihan driver nunggu hampir sejam trs ada pesenan saya habis stelah nunggu lama yauda diganti yg lain",Rasa & Tekstur Makanan,Negative
"gelas minuman baiknya dipisah kantongnya, atau kalo mau tetep digabung tutupnya harus bener2 rapet. orderan saya agak bocor dikit dan rembes sampe box makanannya, pas saya buka bagian dalemnya ada lunturan tinta dikit karna tulisan di boxnya kena air, dan di kantong plastiknya ada sedikit air teh. masih bisa dimakan sih karna saya liat nasinya masih putih tapi mohon diperhatikan lagi untuk packagingnya, untung tempat saya gak terlalu jauh, seandainya jauh gak kebayang kayak apa rembesnya","Kemasan & Kebersihan , Minuman , Porsi & Harga , Rasa & Tekstur Makanan",Negative
nasinya belum matang🥹😭😭,Rasa & Tekstur Makanan,Neutral
"makanannya Mantab, porsinya pas, semoga promonya makin banyak lagi yak wkwkwk",Porsi & Harga,Neutral
sudah pilih sambel bawang bakar.. tapi gak dikasi yg bakar malah dikasi yg biasa.. tolong lebih teliti bacanya kak. makasih.,Pelengkap (Sambal),Neutral
"maaf kak ini rasa ayam gepreknya agak beda karna ayamnya ada rasa kayak asem kecut gimana gitu, pdhal kalo pesan sebelum""nya enak"" aja cuman kemarin aja rasanya beda jadi minta tolong buat dijaga kualitas ayamnya ya kak🙏🏻","Kualitas Umum , Rasa & Tekstur Makanan",Positive
salah menu udah dua kali,Umum,Negative
"Lama, harusnya bisa disiapkan sejak awal kalau tau jam rame ramenya. Dan jadi tidak bisa menyesuaikan notes",Umum,Negative
kok pesen bakar d kasi goreng?,Umum,Neutral
"kalo barang ga ready jangan di tulis ready, mie goreng habis kok masih ditulis ada. lebih kooperatif lagi kasihan pak gojeknya nunggu lama ternyata makanan ga ready",Umum,Negative
enakk banget tapi sambelnya gaada,"Pelengkap (Sambal) , Rasa & Tekstur Makanan",Positive
wenak pol...Thank you,Rasa & Tekstur Makanan,Positive
sambel knp di campur sih,Pelengkap (Sambal),Neutral
minyak nya sampe tumpah”,Umum,Neutral
saya pesan ayam geprek sambal bawang tapi kok gaada sambal nya? sudah menunggu lama.,Pelengkap (Sambal),Negative
beda sambel nya antara satu dan satu nya🥲,Pelengkap (Sambal),Neutral
"Ini juga enak, pilihannya menunya cukup bervariasi apalagi sambelnya jadi kadang bikin bingung. Ada rasa hint kari nya di ayamnya, itu yg bikin cita rasa nya beda.","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Positive
dimsum aku kurang 2. cuma di kasi 1 pdhal di menu tulisan nya dimsum 3biji,Umum,Negative
"es tehnya sedikit aneh rasanya , mungkin karena pesannya waktu pagi sudah pesan pakai sambal bajag mix pecel kerasanya lebih ke pecel bajagnya tidak terasa, baru pertama kali coba sih tidak tau apa emang begitu rasanya, awal dikira rasanya nanti perpaduan antara manis & pedes ini dapetnya manis aja.. tentang porsi ( oke ) , karena pakai menu brutal hehe","Minuman , Minuman (Es teh) , Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Sambal) , Rasa & Tekstur Makanan",Negative
pesanan salah. saya minta ganti ke mie malah yang datang nasi,Umum,Negative
"kulit ayamnya dapet kulit kerongkongan, mana masih basah. kayaknya kulitnya gak digoreng kering jadi teksturnya aneh. odengnya juga amis, kayak stok lama atau tepungnya emang gak bagus. please cek lagi kualitas bahannya","Kualitas Umum , Rasa & Tekstur Makanan",Negative
"mantap, cuma nasi masih kurang banyak",Porsi & Harga,Neutral
"Rasa bumbu ayamnya aneh, seperti ada jamu2-nya. Sambal terlalu pedas, rasa sambal kurang berbumbu hanya pedas saja sehingga kurang bisa dinikmati. Baru kali ini order ayam geprek tidak dimakan hingga habis 🥲 semoga bisa ditingkatkan lagi kualitasnya. sukses selalu.","Kualitas Umum , Pelengkap (Bumbu) , Pelengkap (Sambal) , Rasa & Tekstur Makanan",Negative
"kalau emang habis dan minta ganti, gantinya tetep sesuai dong, ini padahal cuman ganti lauknya malah sosisnya juga ga diganti. kalau emang ganti lauk yaudah lauk aja, ngapain sosisnya diambil segala. DAN KALAU UDAH ABIS STOKNYA DI UPDATE, jangan malah nyuruh driver yang chat customer, MANA DRIVERNYA MARAH MARAH LAGI PAS CHAT CUSTOMER PAADAHAL YANG SALAH RESTONYA",Umum,Neutral
Jamur enokinya oily banget,Umum,Neutral
"sudah langganan biasa beli disini, tapi pesen lagi malah GA ADA SOSIS, pesen odeng juga yg satu odeng nya KECIL BGT ukurannya beda jgn bikin customer kapok dong!",Umum,Positive
"pesan apaan, dikirim apaan. karyawan nya harusnya lebih teliti sama pesanan orang!",Umum,Neutral
"bumbunya kurang gurih sedikit, tapi enak kok✨️✨️","Pelengkap (Bumbu) , Porsi & Harga , Rasa & Tekstur Makanan",Negative
"sebenernya oke aja, cuman tdi pesen saus dipisah trnyta ngga dipisah, okelah gapapa, kalo bs sausnya di perbanyak dikit, ini dpt sausnya dikit",Porsi & Harga,Positive
"Sambel nya sudah Basi, Tidak Bisa di makan",Pelengkap (Sambal),Neutral
helo sobat pegawai joder nasi kalian kebanyakan air hey😭😭😭,Porsi & Harga,Neutral
"porsi cukup, tapi kualitas makanan perlu diperhatikan. ada bagian ayam yg hampir basi di pesanan saya","Kualitas Umum , Porsi & Harga",Neutral
"porsinya banyak, tapi syangnya nasi nya gak fresh udah kaya nasi kemarin, sebenernya ayamnya enak tapi sayangnya ayamnya keras kaya ayam gorengan kemarin. trus aku pesen kulit crispi malah isinya yang Dateng bol ayam crispi jadi sayang kebuang","Porsi & Harga , Porsi & Harga (Porsi Nasi) , Rasa & Tekstur Makanan",Neutral
seperti makan tepung goreng,Umum,Neutral
sudah jelas pesen gk pedes dikasih pedes bgt,Umum,Neutral
Es Teh nya tidak disertakan. FATAL,"Minuman , Minuman (Es teh)",Neutral
enak semuanyaaaa,Rasa & Tekstur Makanan,Positive
pesen cumi dikasih ayam,Umum,Neutral
ikan nya bukan ayam,Umum,Neutral
udang kejunya dingin gk ada kejunya atos juga,Umum,Neutral
pesanan tidak sesuai ada yg kurang,Umum,Neutral
not Fresh and Warm,Umum,Neutral
"tadi pagi jam ***** pesen ayam geprek 2, paha.y blm Mateng 🤦🏻‍♀️ msh merah bnget dalam.y, tolong LBH teliti lagi dong",Umum,Neutral
ayam e bau.. udah lapar2 nunggu lama . rasa dan aroma bikin g selera. kecewa..,Rasa & Tekstur Makanan,Negative
"Kantong kreseknya seperti ketumpahan minyak sampai kena kemasan makanannya, nasinya sudah kering, terlalu lama dipanasi","Kemasan & Kebersihan , Rasa & Tekstur Makanan",Negative
"pesenan kali ini paling enak dibanding sebelum2nya, ayamnya beneran digeprek, dan yg paling penting sambelnya baru bikin , kerasa banget bedanya dibanding dg sambel yg dibikinnya dr kmrn2","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Neutral
"Sambal nya kecut, ayamnya kayak udah lama",Pelengkap (Sambal),Negative
"Salah kirim rasa, lain kali lebih diteliti",Rasa & Tekstur Makanan,Negative
"pesan cumi semua malah dikasih ayam, gk bisa baca ato giman?",Umum,Neutral
enak dan cepet dianternya,Rasa & Tekstur Makanan,Positive
"dapat makanan yang lama bahkan sampai rasa mienya gaada sama sekali, dan ayamnya bau tidak enak. masi better yang cabang sukolilo",Rasa & Tekstur Makanan,Negative
lumayan enak & pas,Rasa & Tekstur Makanan,Positive
sayang bngt slah stu ayamnya yg pke keju after taste nya rada basi gitu kecut kya ayam basi huhu. Pdhal yg stunya rsanya normal enak. smoga aman ya perutku tkutnya kan nanti sakit perut krna rsa ayamnya rda basi.,Rasa & Tekstur Makanan,Positive
"lamaaa banget ya, kasihan drivernya.",Umum,Negative
enak dan kenyang,Rasa & Tekstur Makanan,Positive
"tiap beli disini selalu kurang orderannya, harap lebih teliti packing orderannya",Umum,Negative
posrsi yang datang tidak sesuai yang yang di pesan,Umum,Positive
ayam dingin. nasi gak karuan rasa gak enak,Rasa & Tekstur Makanan,Positive
Terlalu banyak Minyak,Porsi & Harga,Neutral
sayang kurang garing,Rasa & Tekstur Makanan,Negative
"terakhir nunggunya lama, untungnya rasa masih enak.",Rasa & Tekstur Makanan,Neutral
nasi sama ayamnya dingin !!!,Umum,Neutral
Selalu enak dan selalu diskon 😍😍,Rasa & Tekstur Makanan,Positive
sudah langganan ada aja kesalahannya. hadehhh,Umum,Neutral
"porsinya kurang jamur enokinya, kan pesan ayam geprek parting x enoki. enokinya lupa buat menu ayam gepreknya. jadi gk sesuai sama menu.",Porsi & Harga,Neutral
kualitas beras ditingkatkan saya pesan paket kulit+sosis ( sosis tidak ada),Kualitas Umum,Neutral
tidak dapat sosis kedua lauknya padahal pesen dapat sosis,Umum,Neutral
"pesen yg jumbo x pentol yg dateng malah ukuran normal, pentol nya juga ngga redi akhirnya diganti udang rambutan, udang rambutan keras kyk makanan simpenan",Rasa & Tekstur Makanan,Negative
"lama, sejam lebih nunggu",Umum,Negative
"ngga bener, saya bayar lebih untuk minum tp ngga sy terima. sausnya jg minta ganti ngga diganti, yg cajun mayo pun sausnya masih belum keaduk mayo nya. rame sih rame, tp yg bener lah ngasih pesanan orang.",Minuman,Neutral
saya pesan sosis malah tidak ada,Umum,Neutral
"Pertama order, ternyata mantap thanks ka dhani",Umum,Positive
"pesan ayam jumbo c dengan sosis plus tambahan sosis yang datang cuma 1 sosisnya :( padahal minggu lalu pesen yang sama sosisnya 2, tadi pesan juga sama sosisnya kurang",Umum,Negative
repeat lagiiiiiii,Umum,Neutral
pesan hampir 2 jam lebih gk dateng dateng,Umum,Neutral
"nahhh ini baru enak. pesanannya sesuai sm yg di menu, mantab!",Rasa & Tekstur Makanan,Positive
"ayam nya aku dapet mentah mas, masih merah dalem nya sama lembek",Umum,Neutral
dimsumnya gaada,Umum,Neutral
"Jika menyediakan menu traktir driver, mohon dipisah kantong kreseknya",Umum,Neutral
sausnya okeee tapii kulitnya kurang garing,Rasa & Tekstur Makanan,Neutral
"saya pesen paket sama sosis, tapi kok gam ada sosisnyaa?:(",Umum,Neutral
"rasanya sihh enak tapi sayang, es tehnya gelasnya bocor, tolong diperiksa dulu biar pelanggan g kecewa, makaaihh","Minuman , Minuman (Es teh) , Rasa & Tekstur Makanan",Neutral
g dapet sendok sama sedotan plis,Umum,Neutral
beli tanpa nasi dikasih yang sama nasi... ayamnya gak fresh sama sekali.. maaf kasih bintang segini,Umum,Neutral
best pelayanannya sangat baik csnya ramah sekali 👍 ga pernah kecewa udah beberapakali order di sini,Pelayanan,Neutral
"pesen (jumbo) nasi ayam geprek + enoki, yang dateng nasi enoki aja:(",Umum,Neutral
"life saver, thank u😘",Umum,Neutral
es tehnyaaa pakkkk mesti lupaa,"Minuman , Minuman (Es teh)",Neutral
"mesen jamur enoki, malah ga ada. kecewa",Umum,Negative
"Makin ke sini pelayanannya makin buruk Setahun ga ada perubahan, yg ada makin parah Satu jam kocak wkkekw Mana katanya sambalnya abis Untung pas datang kok ada Kalau ga ada udah pasti B1","Pelayanan , Pelengkap (Sambal)",Neutral
"rasaa sih ga diragukann, alwaysss jadi langganan tapi kenapaa yaa pesanannya seeing gabener ini ko saya ga dikasi jamurmyaa huhuuu next lebih telitii ya kakkk, thank youuuu",Rasa & Tekstur Makanan,Positive
nasinya jelek banget kotor keras,"Kemasan & Kebersihan , Rasa & Tekstur Makanan",Negative
"sambal mantab peda tapi sayang sperti sambal mau basi , asem Bauk, dan cumi nya tepung nya g Krispy kaya cumi dari pagi , rada mulai mau basi",Pelengkap (Sambal),Negative
"sambal nya pedes banget, porsi nya kurang wkwkwk","Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Sambal)",Negative
terimakasih dan drivernya sabar,Umum,Neutral
"pesen esteh, tapi yg datang nasinya aja 🤦🏻‍♀️","Minuman , Rasa & Tekstur Makanan",Neutral
enak dan puas. cuma nasinya aja yg kurang enak. overall sudah ok,Rasa & Tekstur Makanan,Positive
"kedepannya semoga sesuai dengan pesanan yang di pesan, pesanya es lemon tea dapatnya es teh tawar😮‍💨","Minuman , Minuman (Es teh)",Positive
"enak, sayang sambelnya kurang","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Neutral
"mantap keseluruhan, hanya tlg nasi klo bs tidak terlalu kering / pero",Rasa & Tekstur Makanan,Neutral
"pelayanan nya buruk, pesanan tidak ada semua mie habis tidak di refil dari minggu kemarin",Pelayanan,Neutral
Es teh saya kok gak ada ya? saya nambahin es teh di pesanan Ayam nya :),"Minuman , Minuman (Es teh)",Neutral
"saya pesan sambal bajag kenapa dikasihnya sambel bawang, pesan mentai bakar juga ga dibakar ya tau sih rame tapi ga sesuai sama pesanan sama sekali",Pelengkap (Sambal),Positive
"Pesen tambahan sosis, tp pas sampe ngga ada sosisnya, kecewa bgt",Umum,Negative
"busuk, mentah, gak di goreng",Umum,Neutral
ENAK. Gapernah gak enak pokoknya.,Rasa & Tekstur Makanan,Positive
"pesan 1 cumi 1 ayam, yg dikirim ayam keduanya",Umum,Neutral
saya nulis sambalnya di pisah tapi ini malah di campur si😭😭 pedes banget,Pelengkap (Sambal),Neutral
"sambelnya pedes tapi untuk rasa bumbu ayam bakar nya kurang, dan sambal geprek ada gula nya, jdi pedes manis sambelnya.","Pelengkap (Bumbu) , Pelengkap (Sambal) , Rasa & Tekstur Makanan",Negative
"Ketika barang kosong tidak di adjust harga, tapi diganti dengan harga yg dibawahnya","Minuman , Porsi & Harga",Neutral
"Katanya sambal bawang, yg datang cabe digunting & bawang putih digeprek, mana biji cabe semua. Bukan sambal yaa. Pesan 2, yg satu ganti sambal bajak tapi yg datang cabe gunting semua. Sorry to say, Gak niat jualan😊",Pelengkap (Sambal),Neutral
nasi blm Mateng dikasih,Umum,Neutral
"Order lauk aja , d kasih sama nasi . Porsi ayam jadi dikit sekali","Porsi & Harga , Porsi & Harga (Porsi Nasi)",Neutral
nasinya lemes amaaaat mas🫠🫠🫠🫠,Rasa & Tekstur Makanan,Neutral
pesanan tidak sesuai🙂‍↔️,Umum,Positive
"aku 2x pesen mesti salah terus, yang pertama aku minta buat sambel pisah tapi sambelnya ga dipisah, yang kedua aku minta buat ayam 2, kulit 1 malah dikasi kulit 2, jujur kecewa banget, lain kali dibaca dulu notenya gimana biar ga bikin costumer kecewa, makasi.",Pelengkap (Sambal),Negative
"pertahankan kualitasnya, mantap!",Kualitas Umum,Positive
Sauce arabian nya agak bau basi,Umum,Negative
mantab porsinya...kenyang....bikin nagih sambelnya,"Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Sambal)",Positive
Rasa ayamnya kayak pakai royco doang,Rasa & Tekstur Makanan,Neutral
"Saus arabian curry itu kayaknya lbh cocok dibilang “bumbu halus arab yg cuma ditumis” Ga enak sama sekali. Bau dan rasa dilidah kayak makan bumbu yg cuma dihalusin :( Alhasil gak aku makan. Buat yg kejunya, dia masih enak 😁. Indomienya gak bgt sih, di aku ga ada warna coklat kecapnya atau rasa asin micinnya, kayaknya bumbunya kelarut ke air rebusannya. Kali ini joder kok ngecewain bgt 😭😭","Pelengkap (Bumbu) , Rasa & Tekstur Makanan",Neutral
"2x pesen paket yg sama dan selalu ga puas, yang pertama es teh bocor, yang kedua gadikasi es teh","Minuman , Minuman (Es teh)",Positive
Ayam popcornya nggak fresh agak bau kadi nggak kemakan,Umum,Negative
ayam dingin! sering kali dapet ayam geprek yang dingin dan daging gak empuh,Umum,Neutral
"makanannya enak, tp sayang es tehnya ada yg bocor jd merembes :(( kedepannya dipastiin lg ya biar makanannya aman sampe tujuan","Minuman , Minuman (Es teh) , Rasa & Tekstur Makanan",Positive
Rasa enak porsinya banyakkk. Sambalnya enakk,"Pelengkap (Sambal) , Porsi & Harga , Porsi & Harga (Porsi Sambal) , Rasa & Tekstur Makanan",Positive
mantap sambal e,Pelengkap (Sambal),Positive
"Iwake adem lek, kurang dipanasi",Umum,Negative
sambalnya dikit uyyy,Pelengkap (Sambal),Neutral
Kayaknya yang dipesan hari ini Cuminya agak bau amis nyengat. Terakhir pesan cuminya enak dan kondisi gak amis. Mungkin kedepannya diperhatikan lagi. 🙏,Rasa & Tekstur Makanan,Neutral
mantap recomended,Umum,Positive
porsinya kurang,Porsi & Harga,Negative
"sambal dicampur , pedasnya luar biasa , gak bisa dimakan","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Neutral
pesanan gak lengkap,Umum,Neutral
enak bianget cuma nasinya kurang banyak aja hehehehehe,"Porsi & Harga , Rasa & Tekstur Makanan",Neutral
ayamnya yg saus keju agak aneh rasanya,Rasa & Tekstur Makanan,Neutral
selalu the best kapanpun dibutuhin waktu laper,Umum,Positive
"sangat lama, 1 jam lebih nunggu",Umum,Negative
kulit ayamnya kenapa dikasih yang jeroan ya,Umum,Neutral
nagih bolak balik beli,Umum,Positive
"di ayam yang digoreng ada plastiknya :(, terus pesen extra pentol ga ada pentolnya sama minta yang pesanan 1 ada sambalnya yang 1 ngga tapi ternyata yang dikirim semuanya tanpa sambal","Kemasan & Kebersihan , Pelengkap (Sambal)",Neutral
"Ada tambahan Seharga 14 Rbu , ( Kulit ayam ) tapi tidak ada Kulitmya sama sekali … SANGAT MERUGIKAN CUSTOMER , Udah kesekian kali beli .. 4/10 Orderan selalu ad yg kurang ..",Porsi & Harga,Negative
gak dicek rasanya dulu? ini uasin banget lho gak bisa dimakan sebagian 😭. banyak tepungnya juga tapi masih wajar lah karena harga promo.,"Porsi & Harga , Rasa & Tekstur Makanan",Neutral
pesen apa dikirim apa,Umum,Neutral
enak tapi cuminya kecil2 trs sambal bajagnya sama aja kayak sambal bawang,"Pelengkap (Sambal) , Rasa & Tekstur Makanan",Positive
Sedih sambelnya ga dipisah 😔,Pelengkap (Sambal),Neutral
"maaf sekali saya harus rating 2. nasi nya keras dan kurang matang, selebihnya oke.",Rasa & Tekstur Makanan,Negative
"First impression aku pesen tambahan udang stick keju mozz itu bakalan ada keju mozzarellanya, ehh ternyata kaya stik pentol gitu yang dateng😭 Gak ada kejunya sama sekali, padahal udah berharap bgt. Next time dicek lagi dong cust mau pesen apa, gak sesuai deskripsi loh😔",Umum,Positive
nasinya terlalu keras,Rasa & Tekstur Makanan,Negative
"saya pesen sosis tapi gaada sosisnya, trimaksih, smoga kedepanya lebih baik",Umum,Neutral
"ENOKI KU MANA KOCAAAAK, PESENANNYA KURANG SATUUU MANA LAGI PENGEN BANGET KOCAK",Umum,Negative
"Porsinya mantap, tapi sayang ada 1 menu salah, pesan kulit ayam yg datang daging ayam 🙏","Porsi & Harga , Porsi & Harga (Porsi Daging)",Neutral
esteh nya ketinggalan 1,Minuman,Neutral
enakkkkkkk bgtt,Rasa & Tekstur Makanan,Positive
saosnya kelupaan,Umum,Neutral
udah nunggu lama 2 jam eh ternyata salah pesenan😔,Umum,Negative
"saya pesannya nasi ayam geprek x sosis sapi, trus nambah 1 sosis lagi, tapi kok cuman dikasih satu ya sosisnya???",Umum,Neutral
beberapa kali beli yg x sosis tp ga dikasihhh sosisnyaaa,Umum,Neutral
"baru pertama nyoba pesen disini, enak sih tapi menunya bikin bingung. kirain di custom pilihan sambal tuh ada sambalnya sendiri ternyata sambalnya cuma 1 itu padahal pilih menu yg cajun mayo. kalo gitu pilihan menu jadi gak guna dong kalo ternyata bisa custom sendiri2. harusnya kalo gitu pilihan menu 1 aja yang gak pakai embel2 sambal apapun (ayam geprek doang misalnya) baru customnya pilih sambal apa biar gak bikin bingung, apalagi kalo baru pertama beli disini","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Positive
NASINYA KEBANYAKAN AIR !,"Porsi & Harga , Rasa & Tekstur Makanan",Neutral
gosong kering haduh,Rasa & Tekstur Makanan,Negative
"Gatau jg krn diskon apa gmn, bener2 bukan ayam geprek ini mah tapi tepung geprek",Umum,Neutral
"Tidak enak bau amis, seperti ayam busuk 🙏 jangan pernah beli disini lagi",Rasa & Tekstur Makanan,Negative
"cumi nya sudah gorengan lama, ga kriuk, sudah kenyil2 & berminyak banyak. bau nya sangat amis, bahkan sudah agak2 mau basi. parah !!! kapok, ga mau beli lagi, padahal sering beli disini malem2. kecewa !!!","Porsi & Harga , Rasa & Tekstur Makanan",Negative
saus nya yang pisah ga ada,Umum,Neutral
kenapa jadi downgrade gini ya? akhir2 ini beli kulit selalu dapet yang sisaan kemarin (warnanya gelap dan berminyak banget),Rasa & Tekstur Makanan,Neutral
"ramah kantong, mengenyangkan.",Pelayanan,Positive
"Tolong perhatikan lauk kemarin jangan diangetin lagi, ga ada freshnya sama sekali, udah mendekati basi, terus minyak di sambel jangan terlalu banyak, jadinya makan nasi minyak ini payahh","Pelengkap (Sambal) , Porsi & Harga",Neutral
"lain kali diperhatikan pesanan nya apa, saya mesen cajun mayo dikasih spicy galbi mungkin karena udah malam juga atau habis, tapi konfirmasi dulu ke pembeli, untuk keseluruhan enak, sambelnya pedes enak","Pelengkap (Sambal) , Rasa & Tekstur Makanan",Positive
langganan disini love bangettttttt🫶🏻,Umum,Positive
Makasih sambelnya di pisah,Pelengkap (Sambal),Neutral
"bisa ditingkatkan porsinya, dan kalau bisa diberi level",Porsi & Harga,Neutral
Pesen nya fire chicken tapi yang dateng nasi sama ayam doang nggak ada saus nya sama sekali🥲,Umum,Neutral
kekurangan sednok 🤣🤣🤣,Umum,Negative
sayang gada sayur or lalapan gtu ya..,Pelengkap (Lalapan),Neutral
semoga kedepannya lebih teliti lagi pesanannya. pesan ayam tapi yg datang kulit. untuk rasa oke banget👍🏻,Rasa & Tekstur Makanan,Positive
"ayam rada bau. pesen udang rambutan yang datang udang gundul yg udah mau busuk, agak berlendir. order traktir driver tapi ga ada",Umum,Negative
"kurang joss sambel bawange mas, tapi gpp tetap berbenah",Pelengkap (Sambal),Negative
Lebih enak disini kulitnya daripada di sukolilo,Rasa & Tekstur Makanan,Positive
nasi 1/ 2 matang,Umum,Neutral
"ayamnya gosong, mesen es teh tapi ga ada es tehnya","Minuman , Minuman (Es teh)",Neutral
"odengnya kayak bau gitu, mana gak panas lagi, mie juga gak panas😭",Umum,Negative
"Tolong perhatikan kematangan ayam & nasinya, kurang matang 🙏🏻",Rasa & Tekstur Makanan,Negative
"Cuminya bau, banyak pesanan tidak available",Porsi & Harga,Negative
"pedes bangett, gamain main deh",Umum,Neutral
pesen mie dikirim nasi coy,Umum,Neutral
Saosnya kurang banyak,Porsi & Harga,Negative
thank youuuu saosnya dah dikasih banyakkk🥰🥰,Porsi & Harga,Neutral
"enakkkk, porsinya lumayan gede juga","Porsi & Harga , Rasa & Tekstur Makanan",Positive
"Yang dateng ga sesuai sama gambar, terus juga porsinya ternyata lumayan dikit, rasanya overall oke si","Porsi & Harga , Rasa & Tekstur Makanan",Positive
Sambalnya tolong diperhatikan terlalu sedikit,"Pelengkap (Sambal) , Porsi & Harga",Negative
"kesalahan pada menu makanan, yang awalnya pesan 1 ayam geprek reguler dengan saus mentai bakar",Umum,Negative
Pesennya jumbo tapi yang datang mini + gk dikasih saus beda sama joder yang dulu,Umum,Neutral
enak tp sebagian ada yg asem ayamnya,Rasa & Tekstur Makanan,Positive
selalu enak dan puas😋😋😋trimakasii joder,Rasa & Tekstur Makanan,Positive
"ayamnya sedikit undercooked dan sosisnya juga belum dimasak (keras), rasa sausnya juga berubah jadi lebih hambar","Porsi & Harga , Rasa & Tekstur Makanan",Negative
min dibaca saran saya di wa ya terimakasih 🙏,Umum,Neutral
"per-udangan nya ga worth it. terlalu mahal. udang keju tp gada keju nya. udang rambutan tp botak. adonan udang"" an ny jg keras:)","Porsi & Harga , Rasa & Tekstur Makanan",Negative
"Rasanya enak, beda sama yg di gebang",Rasa & Tekstur Makanan,Positive
